food,calories,carbs,protein,total_fat,sat_fat,trans_fat,sodium,sugar,fiber
burrito,290,44,7,9,3,0,670,0,2
softtaco,90,13,2,2.5,1,0,200,0,1
crunchytaco,60,9,1,2,0.5,0,10,1,1
whiterice,210,40,4,4,0.5,0,350,0,1
brownrice,210,36,4,6,1,0,190,0,2
blackbeans,120,22,7,1,0,0,330,1,10
pintobeans,20,4,1,0.5,0,0,170,2,1
fajitaveggies,170,2,24,7,2.5,0,510,1,0
barbacoa,190,1,32,6.5,2,0,370,1,0
chicken,190,1,27,8,2.5,0,540,0,0
carnitas,190,2,30,6.5,2,0,320,1,0
steak,20,4,1,0,0,0,470,3,1
tomatosalsa,15,3,1,0,0,0,230,2,1
greentomatillosalsa,80,15,3,1.5,0,0,410,4,3
corn,40,8,2,1,0,0,510,4,4
redtomatillasalsa,100,0,8,8.5,5,0,180,0,0
cheese,120,2,2,10,7,0,30,2,0
sourcream,150,8,2,13,2,0,190,1,6
guacomole,10,2,1,0,0,0,5,1,1
lettuce,5,1,0,0,0,0,0,0,1
chips,260,12,0,24.5,4,0,700,11,1
